Species	Pathway Variant	Binary Phenotype
Enterobacter cloacae complex	-1	0
Enterococcus casseliflavus	-1	0
Enterococcus durans	-1	0
Enterococcus faecalis	-1	0
Enterococcus faecium	-1	0
Enterococcus hirae	-1	0
Enterococcus saccharolyticus	-1	0
Holdemanella biformis	-1	0
[Eubacterium] brachy	-1	0
[Eubacterium] cellulosolvens	-1	0
Eubacterium coprostanoligenes	-1	0
Faecalitalea cylindroides	-1	0
Absiella dolichum	-1	0
Eubacterium ramulus	-1	0
[Eubacterium] rectale	-1	0
[Eubacterium] saphenum	-1	0
[Eubacterium] siraeum	-1	0
Eubacterium ventriosum	-1	0
Faecalibacterium prausnitzii	-1	0
Filifactor alocis	-1	0
Finegoldia magna	-1	0
Fusobacterium gonidiaformans	-1	0
Fusobacterium mortiferum	-1	0
Fusobacterium nucleatum	-1	0
Gemella haemolysans	-1	0
Gemella sanguinis	-1	0
Gemmiger formicilis	-1	0
Gordonia rubripertincta	-1	0
Granulicatella adiacens	-1	0
Haemophilus aegyptius	-1	0
Haemophilus influenzae	-1	0
Haemophilus parainfluenzae	-1	0
Helicobacter bilis	-1	0
Helicobacter canadensis	-1	0
Helicobacter pylori	-1	0
Holdemania filiformis	-1	0
Kingella oralis	-1	0
Kocuria palustris	-1	0
Kytococcus sedentarius	-1	0
Lachnobacterium bovis	-1	0
Lachnospira pectinoschiza	-1	0
Lactobacillus acidophilus	-1	0
Lactobacillus amylolyticus	-1	0
Lactobacillus antri	-1	0
Lactobacillus buchneri	-1	0
Lactobacillus paracasei	-1	0
Lactobacillus casei	-1	0
Lactobacillus crispatus	-1	0
Lactobacillus delbrueckii	-1	0
Lactobacillus fermentum	-1	0
Lactobacillus gasseri	-1	0
Lactobacillus gastricus	-1	0
Lactobacillus iners	-1	0
Lactobacillus jensenii	-1	0
Lactobacillus johnsonii	-1	0
Lactobacillus mucosae	-1	0
Lactobacillus pentosus	-1	0
Lactobacillus plantarum	-1	0
Lactobacillus rhamnosus	-1	0
Lactobacillus ruminis	-1	0
Lactobacillus sakei	-1	0
Lactobacillus salivarius	-1	0
Lactococcus garvieae	-1	0
Lactococcus lactis	-1	0
Leptotrichia goodfellowii	-1	0
Leuconostoc mesenteroides	-1	0
Micrococcus luteus	-1	0
Mobiluncus curtisii	-1	0
Mobiluncus mulieris	-1	0
Morganella morganii	-1	0
Mycoplasma pneumoniae	-1	0
Myroides odoratimimus	-1	0
Neisseria sicca	-1	0
Neisseria subflava	-1	0
Nevskia ramosa	-1	0
Ochrobactrum anthropi	-1	0
Oscillibacter ruminantium	-1	0
Oxalobacter formigenes	-1	0
Pantoea agglomerans	-1	0
Parapedobacter koreensis	-1	0
Parasutterella excrementihominis	-1	0
Parvimonas micra	-1	0
Pediococcus acidilactici	-1	0
Pediococcus pentosaceus	-1	0
Peptococcus niger	-1	0
Peptoniphilus lacrimalis	-1	0
Prevotella albensis	-1	0
Prevotella bivia	-1	0
Prevotella buccae	-1	0
Prevotella copri	-1	0
Prevotella corporis	-1	0
Prevotella denticola	-1	0
Prevotella disiens	-1	0
Prevotella intermedia	-1	0
Prevotella melaninogenica	-1	0
Prevotella nanceiensis	-1	0
Prevotella nigrescens	-1	0
Prevotella oulorum	-1	0
Prevotella pallens	-1	0
Prevotella salivae	-1	0
Prevotella stercorea	-1	0
Alloprevotella tannerae	-1	0
Prevotella timonensis	-1	0
Prevotella veroralis	-1	0
